n,d,degree,seed,basis_size_m,generator_type,solver,method,round,status,value,solve_time,wall_time,error,basis_condition
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.09391227494918984,0.002821019,0.30803973297588527,,497246.16800079495
2,3,6,4,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.020012561071006185,0.001929372,0.062049571075476706,,1.0
2,3,6,4,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal,-3566.272447638653,0.00444415,0.2808626280166209,,1.0
2,3,6,4,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,1,optimal,-41.179707294921386,0.006452286,0.2896025440422818,,85.83282837240326
2,3,6,4,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,2,optimal,-3.6560273447025837,0.00418365,0.31725690292660147,,14.647114551377747
2,3,6,4,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,3,optimal,-1.5347682673720808,0.00373696,0.28914866293780506,,62.159850045024065
2,3,6,4,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,4,optimal,-0.5362281599803305,0.003642811,0.3135904510272667,,118.14203927846371
2,3,6,4,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,5,optimal,-0.3163839572400488,0.004308708,0.29486249294131994,,170.94872638511896
2,3,6,4,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,exception,,,0.30505205201916397,"SolverError(""Solver 'CLARABEL' failed. Try another solver, or solve with verbose=True for more information."")",332929.908018064
2,3,6,5,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.18507480594764875,0.0019351,0.06067529402207583,,1.0
2,3,6,5,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,infeasible,-inf,0.006054326,0.32876647799275815,,1.0
2,3,6,5,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.18507372855261026,0.003035603,0.3247967560309917,,284978.61808921763
2,3,6,6,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.16311526639638813,0.002149148,0.06522089405916631,,1.0
2,3,6,6,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal_inaccurate,-290881.088184785,0.005969523,0.3175252799410373,,1.0
2,3,6,6,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,1,optimal,-472.5946594858424,0.006762609,0.2952872960595414,,1907.6417879894307
2,3,6,6,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,2,optimal,-32.86770463634389,0.005684029,0.33773488795850426,,102.15003652917365
2,3,6,6,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,3,optimal,-6.695818260922312,0.003729368,0.2915145610459149,,83.37189229140616
2,3,6,6,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,4,optimal,-1.574593847367887,0.0042762,0.3105648229829967,,80.1549042306758
2,3,6,6,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,5,optimal,-0.3198238993119554,0.003893672,0.31099309399724007,,95.27927457538104
2,3,6,6,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.1631152274764733,0.00277374,0.2844824419589713,,404941.73932994844
2,3,6,7,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.41496124455536243,0.001978155,0.061569045996293426,,1.0
