n,d,degree,seed,basis_size_m,generator_type,solver,method,round,status,value,solve_time,wall_time,error,basis_condition,is_success,finite_value,sos_value,gap_to_sos,rel_gap_to_sos
2,3,6,1,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,exception,,,0.28856437909416854,"SolverError(""Solver 'CLARABEL' failed. Try another solver, or solve with verbose=True for more information."")",1.0,False,,0.3162570678272185,,
2,3,6,1,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.3162571086053182,0.00289801,0.3172317580319941,,9242.287433901738,True,0.3162571086053182,0.3162570678272185,-4.0778099674732005e-08,-4.0778099674732005e-08
2,3,6,2,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.20285759705218245,0.003413645,0.06487280793953687,,1.0,True,0.20285759705218245,0.20285759705218245,0.0,0.0
2,3,6,2,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,exception,,,0.3267544429982081,"SolverError(""Solver 'CLARABEL' failed. Try another solver, or solve with verbose=True for more information."")",1.0,False,,0.20285759705218245,,
2,3,6,2,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.20285754204218867,0.002936269,0.3583317690063268,,351729.28691979754,True,0.20285754204218867,0.20285759705218245,5.500999378238447e-08,5.500999378238447e-08
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.09391231331712989,0.002374505,0.06737378693651408,,1.0,True,0.09391231331712989,0.09391231331712989,0.0,0.0
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal,-94246.40852763278,0.006211436,0.29333849693648517,,1.0,True,-94246.40852763278,0.09391231331712989,94246.5024399461,94246.5024399461
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,1,optimal,-53.96658742795899,0.007894866,0.30014916392974555,,475.1648603662864,True,-53.96658742795899,0.09391231331712989,54.06049974127612,54.06049974127612
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,2,optimal,-1.7666248914896718,0.006698032,0.3871467299759388,,17.402437563943185,True,-1.7666248914896718,0.09391231331712989,1.8605372048068016,1.8605372048068016
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,3,optimal,-0.45148577682618746,0.003797464,0.2991306680487469,,17.03913175617358,True,-0.45148577682618746,0.09391231331712989,0.5453980901433173,0.5453980901433173
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,4,optimal,-0.1582255286374229,0.004918556,0.31720793806016445,,59.40598550818075,True,-0.1582255286374229,0.09391231331712989,0.2521378419545528,0.2521378419545528
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,5,optimal,0.03520082763235956,0.005119134,0.29017785494215786,,54.38797589760933,True,0.03520082763235956,0.09391231331712989,0.05871148568477033,0.05871148568477033
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.09391227494918984,0.002821019,0.30803973297588527,,497246.16800079495,True,0.09391227494918984,0.09391231331712989,3.8367940047301374e-08,3.8367940047301374e-08
2,3,6,4,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.020012561071006185,0.001929372,0.062049571075476706,,1.0,True,0.020012561071006185,0.020012561071006185,0.0,0.0
2,3,6,4,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal,-3566.272447638653,0.00444415,0.2808626280166209,,1.0,True,-3566.272447638653,0.020012561071006185,3566.292460199724,3566.292460199724
2,3,6,4,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,1,optimal,-41.179707294921386,0.006452286,0.2896025440422818,,85.83282837240326,True,-41.179707294921386,0.020012561071006185,41.19971985599239,41.19971985599239
2,3,6,4,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,2,optimal,-3.6560273447025837,0.00418365,0.31725690292660147,,14.647114551377747,True,-3.6560273447025837,0.020012561071006185,3.6760399057735897,3.6760399057735897
