n,d,degree,seed,basis_size_m,generator_type,solver,method,round,status,value,solve_time,wall_time,error,basis_condition
2,2,4,9,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,infeasible,-inf,0.001658144,0.10717104095965624,,1.0
2,2,4,9,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.050991341654187824,0.000848159,0.10356945905368775,,238727.8399370962
2,3,6,0,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.0875351427330895,0.001645551,0.08264328399673104,,1.0
2,3,6,0,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,infeasible,-inf,0.005178818,0.28140841901768,,1.0
2,3,6,0,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.0875350777687731,0.002841571,0.3119407189078629,,270289.4554469258
2,3,6,1,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.3162570678272185,0.001721209,0.06121083500329405,,1.0
2,3,6,1,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,exception,,,0.27992439398076385,"SolverError(""Solver 'CLARABEL' failed. Try another solver, or solve with verbose=True for more information."")",1.0
2,3,6,1,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.3162571086053182,0.002899732,0.30914994596969336,,9242.287433901738
2,3,6,2,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.20285759705218245,0.002643819,0.06305900297593325,,1.0
2,3,6,2,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,exception,,,0.3193119370844215,"SolverError(""Solver 'CLARABEL' failed. Try another solver, or solve with verbose=True for more information."")",1.0
2,3,6,2,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.20285754204218867,0.002822587,0.2834489360684529,,351729.28691979754
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.09391231331712989,0.002221532,0.05908610997721553,,1.0
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal,-94246.40852763278,0.006219894,0.30755905504338443,,1.0
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,1,optimal,-53.96658742795899,0.007268041,0.28868714498821646,,475.1648603662864
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,2,optimal,-1.7666248914896718,0.004596071,0.3109428599709645,,17.402437563943185
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,3,optimal,-0.45148577682618746,0.003844125,0.28472597303334624,,17.03913175617358
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,4,optimal,-0.1582255286374229,0.004903728,0.2865479600150138,,59.40598550818075
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,5,optimal,0.03520082763235956,0.00484206,0.30887166096363217,,54.38797589760933
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,6,optimal,0.08887867858460569,0.004383217,0.2853574480395764,,72.47308090554257
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,7,optimal,0.09372375739692784,0.004307749,0.3081074700457975,,186.58722778797647
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,8,optimal,0.09391212963960914,0.004639961,0.2835324739571661,,717.0756644111739
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,9,optimal,0.09391223767110608,0.003171788,0.3054991939570755,,20539.186580852165
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,10,optimal,0.09391223873463149,0.002236079,0.28085611504502594,,40807.106003227884
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.09391227494918984,0.002795107,0.30325202306266874,,497246.16800079495
2,3,6,4,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.020012561071006185,0.001903385,0.060398817993700504,,1.0
2,3,6,4,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal,-3566.272447638653,0.004479144,0.30282655800692737,,1.0
2,3,6,4,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,1,optimal,-41.179707294921386,0.006540357,0.2864892240613699,,85.83282837240326
2,3,6,4,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,2,optimal,-3.6560273447025837,0.004000753,0.31194357108324766,,14.647114551377747
2,3,6,4,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,3,optimal,-1.5347682673720808,0.003795194,0.2828955599106848,,62.159850045024065
2,3,6,4,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,4,optimal,-0.5362281599803305,0.003497717,0.31673596997279674,,118.14203927846371
2,3,6,4,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,5,optimal,-0.3163839572400488,0.004315868,0.2845101689454168,,170.94872638511896
2,3,6,4,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,6,optimal,-0.1881378684713523,0.004837701,0.2831081209005788,,240.8739619181728
2,3,6,4,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,7,optimal,-0.10187688478696613,0.004507458,0.30453841807320714,,181.34140014578205
2,3,6,4,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,8,optimal,-0.05123354423973507,0.004734219,0.2829160199034959,,196.37704643865678
2,3,6,4,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,9,optimal,-0.025385371384558517,0.004672576,0.31509589799679816,,224.1980247651255
2,3,6,4,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,10,optimal,-0.007336099225994032,0.004890563,0.2931717960163951,,223.71527593343177
2,3,6,4,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,exception,,,0.2988402439514175,"SolverError(""Solver 'CLARABEL' failed. Try another solver, or solve with verbose=True for more information."")",332929.908018064
